Line,From Fundamental Accounting Concept,Type of Relation (Arcrole),To IFRS XBRL Taxonomy Concept,Try Order
67,fac:IncomeLossFromContinuingOperationsAfterTax,class-equivalentClass,us-gaap:IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,2
68,fac:IncomeLossFromContinuingOperationsAfterTax,class-equivalentClass,us-gaap:IncomeLossFromContinuingOperations,3
69,fac:IncomeLossFromContinuingOperationsBeforeTax,class-equivalentClass,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1
70,fac:IncomeLossFromContinuingOperationsBeforeTax,class-equivalentClass,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2
71,fac:IncomeLossFromDiscontinuedOperationsNetOfTax,class-equivalentClass,us-gaap:IncomeLossFromDiscontinuedOperationsNetOfTax,1
72,fac:IncomeLossFromDiscontinuedOperationsNetOfTax,class-equivalentClass,us-gaap:IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,2
73,fac:IncomeLossFromDiscontinuedOperationsNetOfTaxAdjustmentToPriorYearGainLossOnDisposal,class-equivalentClass,us-gaap:DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalNetOfTax,1
74,fac:IncomeLossFromDiscontinuedOperationsNetOfTaxDuringPhaseOut,class-equivalentClass,us-gaap:DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,1
75,fac:IncomeLossFromDiscontinuedOperationsNetOfTaxGainLossOnDisposal,class-equivalentClass,us-gaap:DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,1
76,fac:IncomeLossFromDiscontinuedOperationsNetOfTaxProvisionForGainLossOnDisposal,class-equivalentClass,us-gaap:DiscontinuedOperationProvisionForLossGainOnDisposalNetOfTax,1
77,fac:IncomeLossFromEquityMethodInvestments,class-equivalentClass,us-gaap:IncomeLossFromEquityMethodInvestments,1
78,fac:IncomeLossFromEquityMethodInvestments,class-equivalentClass,us-gaap:EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,2
79,fac:IncomeLossFromEquityMethodInvestments,class-equivalentClass,us-gaap:IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,3
80,fac:IncomeTaxExpenseBenefit,class-equivalentClass,us-gaap:IncomeTaxExpenseBenefit,1
81,fac:IncomeTaxExpenseBenefit,class-equivalentClass,us-gaap:IncomeTaxExpenseBenefitContinuingOperations,2
82,fac:IncomeTaxExpenseBenefit,class-equivalentClass,us-gaap:FederalHomeLoanBankAssessments,3
