cik_str,ticker,title,cik10D
1059386,VVR,Invesco Senior Income Trust,0001059386
1631596,KREF,KKR Real Estate Finance Trust Inc.,0001631596
1899123,BTDR,Bitdeer Technologies Group,0001899123
1432364,AZUL,AZUL SA,0001432364
1758057,LAZR,"Luminar Technologies, Inc./DE",0001758057
1497645,INN,"Summit Hotel Properties, Inc.",0001497645
1633336,CCAP,"Crescent Capital BDC, Inc.",0001633336
1513363,FDUS,FIDUS INVESTMENT Corp,0001513363
1994702,KYTX,"Kyverna Therapeutics, Inc.",0001994702
1084201,SVA,SINOVAC BIOTECH LTD,0001084201
1788257,BWMX,"BETTERWARE DE MEXICO, S.A.P.I. DE C.V",0001788257
1042893,DRQ,DRIL-QUIP INC,0001042893
1490906,CFFN,"Capitol Federal Financial, Inc.",0001490906
1742518,MTC,"MMTec, Inc.",0001742518
1766400,PNTG,"Pennant Group, Inc.",0001766400
1277866,EXK,ENDEAVOUR SILVER CORP,0001277866
1434621,TREE,"LendingTree, Inc.",0001434621
1793129,NDMO,Nuveen Dynamic Municipal Opportunities Fund,0001793129
1160308,SVRA,Savara Inc,0001160308
1005817,TMP,TOMPKINS FINANCIAL CORP,0001005817
764401,IIIN,INSTEEL INDUSTRIES INC,0000764401
45876,NVRI,ENVIRI Corp,0000045876
1273685,NYMT,NEW YORK MORTGAGE TRUST INC,0001273685
790500,FAX,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",0000790500
1296250,PFN,PIMCO Income Strategy Fund II,0001296250
1855066,MEGI,MainStay CBRE Global Infrastructure Megatrends Term Fund,0001855066
1622229,COGT,"Cogent Biosciences, Inc.",0001622229
884152,VMO,Invesco Municipal Opportunity Trust,0000884152
1690585,DNTH,"Dianthus Therapeutics, Inc. /DE/",0001690585
1387467,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,0001387467
1837686,VMEO,"Vimeo, Inc.",0001837686
1979330,NBBK,"NB Bancorp, Inc.",0001979330
1809691,HKD,AMTD Digital Inc.,0001809691
1046025,HFWA,HERITAGE FINANCIAL CORP /WA/,0001046025
1320375,BOE,BlackRock Enhanced Global Dividend Trust,0001320375
1831481,SOC,Sable Offshore Corp.,0001831481
1010086,SIGA,SIGA TECHNOLOGIES INC,0001010086
1873331,PGRU,PROPERTYGURU GROUP LTD,0001873331
1726173,BH-A,Biglari Holdings Inc.,0001726173
102212,UVSP,UNIVEST FINANCIAL Corp,0000102212
1865408,EXAI,Exscientia plc,0001865408
1855747,BLND,"Blend Labs, Inc.",0001855747
1855474,AIRJ,Montana Technologies Corp.,0001855474
1503274,QTRX,Quanterix Corp,0001503274
1481646,ACCD,"Accolade, Inc.",0001481646
1313510,GGN,"GAMCO Global Gold, Natural Resources & Income Trust",0001313510
1802156,XPOF,"Xponential Fitness, Inc.",0001802156
1000694,NVAX,NOVAVAX INC,0001000694
1805385,EVLV,"Evolv Technologies Holdings, Inc.",0001805385
859070,FCBC,FIRST COMMUNITY BANKSHARES INC /VA/,0000859070
876523,EZPW,EZCORP INC,0000876523
